country,description,name,price,province,region,variety,winery
US,"Toasty scents and flavors of the barrels (40% new) cloak tart raspberry fruit. It's clean and efficient, though for the moment at least, the barrel flavors outrun the rather light fruit. That can change over time, so give this one until 2015 or so in bottle.",Estate,36,Oregon,McMinnville,Pinot Noir,Coeur de Terre
US,"Bright orange juice, dill herbs and a slight whiff of vanilla bean lead the aromas on this un-oaked Chard. On the palate, flavors of apple cider come with a wash of fresh lime juice on the back end.",Limited Selection,24,California,Central Coast,Chardonnay,Daniel Gehrs
US,"This white combines 48% Roussanne with 35% Marsanne and 17% Viognier to creamy, tropical effect, its balance between ripe melon and pear fruitiness and spiced acidity well woven. From one of the few sources of some of these grapes in the Russian River Valley, this RhÌ«ne-inspired wine is ready to pair with lobster or a roast turkey dinner.",CuvÌ©e Luke Saralee's Vineyard,30,California,Russian River Valley,RhÌ«ne-style White Blend,Davis Family
US,"Sourced from the estate vineyard‰ÛÓthe same vineyard that fuels the Private Stash reserve‰ÛÓthis shows a dusty, somewhat charred character, presumably from the barrel aging. Along with the slightly burnt toast character comes plenty of black cherry fruit, and acids that leave a slightly chalky impression in the finish.",Wits' End,60,Oregon,Chehalem Mountains,Pinot Noir,Roco
US,"The other realm of the coin from Brown Ranch, Toyon is leaner and lighter, its color even subdued, a study in wild strawberry and layered floral highlights, oak and cardamom spice. It bristles with acidity, pleasant to sip on its own or with bacon-wrapped figs.",Toyon Farm,54,California,Carneros,Pinot Noir,Saintsbury
US,"This is a frizzante style of Muscat, the pressure slight enough to allow for a screwcap seal. Off-dry, spicy and aromatic, it's a great sipping wine, with concentrated flavors of sweet orange-pekoe tea.",Early,15,Oregon,Willamette Valley,Muscat,Silvan Ridge
Italy,"This opens with aromas of black plum, oak, espresso, black pepper, balsamic notes and a whiff of barnyard. The bracing palate delivers crushed dark cherry alongside oak sensations of espresso, toast and vanilla. Aggressive wood tannins cut this short and give an astringent finish.",Bussia,56,Piedmont,Barolo,Nebbiolo,Silvano Bolmida
US,"The winery's signature widely distributed white is heady in flowery jasmine, with vibrant acidity and a sense of sweetness on the palate thanks to fresh fruit flavors of grapefruit, peach and nectarine. An ideal wine for summer or whenever one needs to recall a summer's day.",Estate,20,California,Napa Valley,Sauvignon Blanc,St. SupÌ©ry
US,"Smells of rust, iron, tomato and untracked peppercorns rise to the nose. On the palate, the wine is quite light and racy, with a little boysenberry and more sanguine flavors. Hold onto this one until 2016 for maximum enjoyment, as more flavors will emerge.",Guidotti Vineyard,61,California,Santa Lucia Highlands,Pinot Noir,Testarossa
Spain,"This is brilliantly purple in color, with jumpy, untamed black-fruit aromas. In the mouth, it is tannic and clawing, with a cheek-drilling mouthfeel. Syrupy blackberry flavors offer baking spice and clove accents, while the finish is showing unabsorbed oak and monster tannins.",Prestigio,30,Northern Spain,Cigales,Tempranillo,Val de Los Frailes
Spain,"Dusty black cherry and dark plum aromas are ripe and friendly. This is a plump, modern-style red with a clean mouthfeel and weight. Berry fruits, spice and oak flavors blend well, while the finish is, in general, full, smooth and adequately fresh. Tempranillo with 10% Petit Verdot.",Crianza,17,Central Spain,La Mancha,Tempranillo Blend,Yuntero
US,"Chalky earth, black pepper and clove comprise the nose on this wine, which gets a boost from 10% Merlot. The flavors are spicy and complex, with cedar, tea and a tiny bit of varietally distinct green pepper.",Querida,40,California,Paso Robles,Cabernet Sauvignon-Merlot,Oso Libre
US,"Oso Libre ventures into the nonvintage category with this blend of 10 wines from the past five years, delivering a nose with blackberry and a pinch of pepper. The meaty wine really gets your attention once sipped, with boysenberry, cracked peppercorn, some iron and a lingering licorice flavors.",Primoroso,39,California,Paso Robles,Red Blend,Oso Libre
Italy,"Made from vineyards throughout the village of Serralunga d'Alba, this straightforward wine is still closed. It reveals black cherry, espresso, prune and subtle oak alongside a note of tire rubber. It's still extremely young, with aggressive tannins that dry out the finish.",del Comune di Serralunga d'Alba,49,Piedmont,Barolo,Nebbiolo,Palladino
France,"A lemon-scented, crisp wine, it's also full of ripe yellow fruits. It's a warm in style, rich with both fruit and an open texture. Almonds and acidity give a refreshing aftertaste.",Domaine de Saint-Pierre,23,Loire Valley,Sancerre,Sauvignon Blanc,Pierre Prieur et Fils
US,"A brighter, more mineral- and acid-driven take on the often rustic RhÌ«ne grape, this kicks off with fresh smells of raspberry and rock. The palate brings tart cherry, followed by just-ripe black berry and really ripe raspberry on the midpalate, and a tartness on the finish.",Anna's Estate Vineyard,32,California,Paso Robles,MourvÌ¬dre,Adelaida
Argentina,"Immediately this smells raisiny, but with time secondary scents of cinnamon and Middle Eastern spices come into play. The body is soft and extracted, with modest acidity. Flavors of baked black fruits, fig paste, chocolate and herbs follow the nose, as does a chocolaty, rich  finish. Drink through 2016.",Single Vineyard Reserva,15,Mendoza Province,Agrelo,Cabernet Sauvignon,Lamadrid
France,"Packed with tannin, it is not showing much sign of fruit yet. It is dark, brooding and very firm in texture, with just with a hint of juicy black cherry flavors. Wait until 2017 before drinking.",Pertuisots Premier Cru,92,Burgundy,Beaune,Pinot Noir,Domaine de Bellene
France,"A very fruity wine, it shows rich wood flavors as well as equally rich fruit. It is complex, very mineral in character, tight and nervy. The citrus fruit is matched by the apricot flavor, putting down layers of acidity. Don't drink before 2017.",Clos du Cailleret Premier Cru,94,Burgundy,Chassagne-Montrachet,Chardonnay,Domaine Vincent Girardin
US,"The southern Napa Coombsville area is near San Pablo Bay, making it a cool area. In this vintage, it shows the acidity and mineraity of its terroir, but also the ripeness Chardonnay can achieve in a good vineyard, with orange and apricot flavors enhanced with oak. Drink now.",Haynes Vineyard,58,California,Coombsville,Chardonnay,Failla
US,"From the estimable Shake Ridge Ranch, winemaker Rosemary Cakebread has fashioned a lovely blend from 53% Grenache, 31% Syrah, 14% MourvÌ¬dre and 2% Viognier. Opening with leathery tannins, the rich and savory concoction imparts juicy dark plum, tobacco and especially coffee.",Suzuri Series Shake Ridge Ranch,50,California,Amador County,RhÌ«ne-style Red Blend,Gallica
US,"The vintage was a great one not only for J's dry table wines but for its sparklers. This brut, a classic Chardonnay and Pinot blend, with a drop of Pinot Meunier, is dry, with complex lemon, orange, yeast, vanilla, cream and toast flavors. The bubbles are ultra-fine, raising the appeal.",Vintage Brut,48,California,Russian River Valley,Sparkling Blend,J Vineyards & Winery
Italy,"This wine has more structure and depth than most Pinot Biancos from Alto Adige, thanks to vineyard location and 20% aging in large casks. It delivers sensations of apples and exotic fruit along with a flinty note. The creamy texture is brightened by lively acidity.",Sirmian,27,Northeastern Italy,Alto Adige,Pinot Bianco,Nals Margreid
US,"A great follow-up to the winery's 2011, made this time from an esteemed vineyard in one of the coldest parts of the valley. The vintage was difficult, but the wine is rich in raspberry, cranberry and persimmon flavors, brightened by crisp acidity and finishing totally dry. There's no reason not to drink it now.",Solomon Hills Vineyard,43,California,Santa Maria Valley,Pinot Noir,Ryan Cochrane
Italy,"Here's a delicious Soave with depth and character. Floral aromas of Spanish Broom and chamomile take center stage, accented by a smidge of exotic fruit and graphite. The juicy palate offers honeydew melon, white peach, ripe pear, citrus and mineral purity balanced by fresh acidity.",Monte Carbonare,33,Veneto,Soave Classico,Garganega,Suavia
Italy,"Classic varietal aromas include stone fruit, crushed tomato vine, freshly cut grass and green melon. The palate offers a depth of flavors that include creamy white peach and ripe cantaloupe that are brightened by firm acidity. It closes on a flinty mineral note.",Quarz,60,Northeastern Italy,Alto Adige,Sauvignon,Cantina Terlano
France,"The minty aromas indicate new wood aging as well as a ripe, polished texture. They make for a wine that has presence and structure as well as rich fruitiness, blackberry flavors and a dry, solid core. It's a sophisticated wine that can age. Drink from 2017.",RÌ©serve,30,Bordeaux,Graves,Bordeaux-style Red Blend,ChÌ¢teau Haut Selve
US,"Made from 100% Cabernet, this wine shows the intensity of fruit that Mount Veeder is capable of expressing. It also has excellent acidity. But the tannins are astringently strong, giving a numbing sting to the palate. This certainly needs time. Give it until 2022 and beyond.",Lampyridae Vineyards,100,California,Mount Veeder,Cabernet Sauvignon,Communication Block
US,"Right out of the bottle, this 100% Syrah delights for its overall balance and deep, rich array of cherries and blueberries. If you pay attention, you'll find more complex layers of sautÌ©ed wild mushrooms, grilled prosciutto and toast. Dry and tannic, and would be ideal with roasted lamb.",Le Mistral Vineyard,35,California,Monterey County,Syrah,Baker & Brain
France,"There is a great balance here between the creamy fruit and the wood flavors. Apricots, ripe apples and melon are spiced with the right amount of toastiness. The wine has a rich, warm feel. It is still young, so wait until 2015 to drink.",Les Charmes Dessus,60,Burgundy,Santenay,Chardonnay,Domaine de Bellene
France,"Hugely tannic at this stage, this dense and complex wine has great structure partnered with dark black fruit and licorice. There is forward bitterness, suggesting this wine needs aging. Drink from 2017.",CuvÌ©e Germain,16,Southwest France,CÌ«tes du Tarn,Bordeaux-style Red Blend,Domaine D'en SÌ©gur
France,"This is a ripe and smoothly textured wine. It is already finely balanced, rich with toast, apricot fruits and a tight, mineral character. It is enjoyable now but will age well until 2022.",Quintessence,40,Burgundy,Pouilly-FuissÌ©,Chardonnay,Domaine Sangouard-Guyot
US,"Sourced from a 15-acre vineyard on Parrett Mountain, this displays single vineyard specificity. Entry is surprisingly soft, and (perhaps influenced by the name) there seems to be a pleasing clay-like quality to the mouthfeel. Clean blueberry fruit leads into a tasty, balanced finish.",Clay Court,60,Oregon,Willamette Valley,Pinot Noir,Elk Cove
US,"This is a gigantic Syrah, a tsunami of blackberry jam and milk chocolate, with headier notes of cassis liqueur and toasty buttered oak. That sounds sweet, but the wine is thoroughly dry. The tannins are thick, but finely ground and negotiable now. It might last in the bottle for many years, but there's no point in aging it. Enjoy now with elaborate roasts and stews.",Kruse Vineyards,42,California,Paso Robles,Syrah,Jack Creek
US,"The hue is an elegant peach just starting to blush with pink. The wine is entirely dry, with low alcohol framing intricate flavors of peaches, limes and vanilla, brightened by crisp acidity.",RosÌ© of,20,California,Napa Valley,Pinot Noir,Brick & Mortar
Italy,"A savory Sauvignon with intensity and balance, it has aromas of cantaloupe and crushed tomato vine. The vibrant palate offers juicy green melon, pineapple and citrus together with a mineral note. Fresh acidity leaves a clean, crisp finish.",Prail,25,Northeastern Italy,Alto Adige,Sauvignon,Colterenzio
Italy,"This savory Pinot Grigio has a little weight on it thanks to grape selection and 20% aging in large barrels. It delivers classic Granny Smith apple, Bartlett pear, nutmeg and flint in a creamy texture brightened by fresh acidity.",Puiten,23,Northeastern Italy,Alto Adige,Pinot Grigio,Colterenzio
US,"With a light, silky mouthfeel and mouthwatering acidity, this Pinot satisfies for its rich array of raspberries, cherries, spices, cola and smoky oak. It defines the Carneros style: tart, a little earthy and ageworthy. Drink now‰ÛÒ2019.",Estate Grown,38,California,Carneros,Pinot Noir,Cuvaison
US,"De Loach continues to impress with this Lake County vineyard-designate, a well-balanced Zin with plenty of density amid its brick tar and brambly blackberry fruit. With leveled acidity along with plenty of power, it'll both age and be pleasing to drink now, with smoky meats.",Nova Vineyard,32,California,Clear Lake,Zinfandel,De Loach
US,"This standout Rocks District wine brings earth shaking aromas of black-olive brine, tapenade, green olive, stargazer lilies, orange peel and crushed gravel. The smoked meat, charcuterie and blue-fruit flavors don't hold back, bringing a lovely sense of texture and detail. It's an intense wine that completely demands your attention.",The Funk Estate,60,Washington,Walla Walla Valley (WA),Syrah,Saviah
US,"Entirely estate grown from dry-farmed grapes, this white sparkles with waxy apricot and pear flavors and crisp, underlying mineral stoniness. Dry, with refreshing acidity, it doesn't skimp on mouthfeel, delivering a viscosity that's invitingly complex and lingering.",Estate Bottled,30,California,Napa Valley,Riesling,Smith-Madrone
Italy,"This complex and fragrant wine opens with dried violet, black plum and cooking spice aromas. The smooth, well-structured palate doles out blackberry jam, pipe tobacco, ripe black cherry, nutmeg and licorice flavors. Velvety tannins provide elegant support. Drink through 2027.",Vigneto Monte Sant'Urbano,85,Veneto,Amarone della Valpolicella Classico,Red Blend,Speri
US,"From a combination of dry-farmed estate fruit and grapes sourced in Carneros, this lovely white is fermented in stainless steel, which coaxes a seamless, light-bodied crispness on the palate. Exotic white peach and briny stone highlight a heady aromatic thread of honeysuckle, ginger and wild vanilla.",White,30,California,Napa Valley,Riesling,Stony Hill
US,"Winemaker Bill Brosseau hits a single vineyard home run with this bottling from one of the Central Coast's oldest sites. It shows exotic plum, tangy cranberry, pine needle, juniper and pencil shaving scents on the nose. The palate is steeped in mulberry, marjoram and curry-like Indian spices, proving dynamic and delicious in the most compelling ways.",Sierra Madre Vineyard,65,California,Santa Maria Valley,Pinot Noir,Testarossa
US,"The estate's 13 acres were first planted in 1999. This lovely wine expresses itself with perfectly ripened black-cherry fruit, a dash of cola, and an underpinning of clean earth, complemented with a touch of mineral. The finish is superb.",BergstrÌ¦m Vineyard,90,Oregon,Dundee Hills,Pinot Noir,BergstrÌ¦m
US,"Consistently outstanding Pinot Noir producer Black Kite has done it again. This bottling comes together in a seamless symphony of aromas and flavors. Ripe fruit, subtly spicy oak and forest floor notes fill the glass. Its opulent texture unfolds into layers of baking spice, earthiness, and red and black cherry fruit, with a long, complex finish.",Angel Hawk,85,California,Anderson Valley,Pinot Noir,Black Kite
US,"Powerful tannin meets subdued fruit in this layered, youthful wine. Concentrated and focused, with rose petal, sage and wild strawberry notes, it holds back teasingly before slowly unraveling to reveal velvety texture and corpulent weight.",King Ridge Vineyard Hirsch Selection,70,California,Fort Ross-Seaview,Pinot Noir,Blue Farm
US,"There is a darker fruit spectrum evident in the reserve, with notes of coffee, smoke, black fruits, a touch of charred wood all worked through, and without damping the core fruit flavors. Those bright flavors spotlight raspberry, plum and black cherry. A light cola flavor pokes through, with ripe tannins and proportionate acids. The barrel treatment is beautifully applied, adding sweet spice to the finish.",Evenstad Reserve,70,Oregon,Willamette Valley,Pinot Noir,Domaine Serene
US,"From the famous site on Westside Road outside of Healdsburg, this bold red shows orange, dark cherry and pungent earth scents, remaining savory at its core. Medium-bodied and balanced with acidity, it takes on a meaty persona seasoned with pepper, clove and black tea.",Bacigalupi Vineyard,60,California,Russian River Valley,Pinot Noir,Gary Farrell
Italy,"Elegant and savory, this vibrant white offers enticing Spanish broom, yellow stone fruit, wet stone and crushed thyme aromas. The vibrant, ethereal palate carries subtle, tantalizing layers of yellow peach, tangy tangerine, lemon drop and pineapple with lively acidity. A graphite note closes the lingering finish. Too elegant for some palates, it shows impressive balance and depth, despite the cool, wet vintage.",Contrada Salvarenza Vecchie Vigne,38,Veneto,Soave Classico,Garganega,Gini
Italy,"Hands down one of Italy's best whites, this boasts alluring white flower and yellow stone fruit scents. The enveloping, delicious palate delivers white peach, mature pear, ginger and lemon drop flavors. Fresh acidity brightens the creamy flavors while a mineral note energizes the finish.",La FroscÌÊ,29,Veneto,Soave Classico,Garganega,Gini
US,"This impressive 100% varietal wine shows focused red fruit, a tropical edge of coconut and firm, structured tannin. Sage, cedar, tobacco and black pepper notes provide a sultry, savory counterpoint to the fruit, balanced with moderate acidity. Enjoy 2023‰ÛÒ2033.",Outer Limits,155,California,Napa Valley,Cabernet Sauvignon,Parallel
US,"This gorgeous wine deftly integrates a lively mix of currant, cherry, breakfast tea and dried leaves into a seamless and seductive whole. Produced from vines dating back to the early 1970s, it finishes with a delicious streak of milk chocolate. Drink now through 2030.",Durant Vineyard Bishop Block,48,Oregon,Dundee Hills,Pinot Noir,Patricia Green Cellars
US,"From a prime site relatively high in elevation for the appellation, this wine shows beautiful, crisp acidity, as robust layers of mountain raspberry, blackberry and coffee flavor vie for attention. Full bodied and densely structured, it unfurls in wisps of black licorice and clove on the lengthy finish.",Godspeed,95,California,Mount Veeder,Cabernet Sauvignon,Sbragia
US,"This pretty, floral wine made entirely from Chardonnay grapes from this site is both creamy and crisp. It offers impressive length, acidity and stoniness, accenting its focused green apple flavor. As it opens, it takes on a richer honey-like tone that adds further complexity and deliciousness.",Tognetti Vineyard Brut,80,California,Carneros,Sparkling Blend,Schramsberg
US,"Intensely aromatic, yet big and even chunky in the mouth, this young wine remains compressed and hard-edged. Give it ample aeration, and cranberry, blackberry and black cherry fruits come alive. Dense with fruit and detailed with wet stone minerality, this should be cellared a few years, and consumed from 2020 to 2030.",Ribbon Ridge Estate,49,Oregon,Ribbon Ridge,Pinot Noir,Trisaetum
France,"The wine comes from the grand showpiece estate of Madiran. A blend that is dominated by Tannat produces a wine that is still so young. Bold fruits and firm tannins are right to the fore, along with acidity and a strong mineral texture. It's a powerful and impressive wine that also manages elegance as well. The wine will take several more years to soften. Drink from 2020.",ChÌ¢teau Montus,35,Southwest France,Madiran,Tannat-Cabernet,Vignobles Brumont
US,"The aromas pop, with notes of orange peel, ember, cured meat, black olive and wet stone, with purple fruit lurking in the background. The palate is surprisingly fruit forward, with plum and savory flavors that coat the palate from end to end. The finish glides for a full 30 seconds.",Old Stones,50,Washington,Walla Walla Valley (WA),Syrah,Waters
France,"This is a wine that is beginning to show some fine maturity. There are ripe fruits still very present, but they are matched by the secondary flavors, spice and warm tannins along with the classic herbal character of MourvÌ¬dre. The wine is produced from organically grown grapes, giving purity as well as some serious structure in the background. Drink from 2018.",La BÌ©gude,44,Provence,Bandol,Provence red blend,Domaine de la BÌ©gude
Spain,"Spicy yet sweet aromas of sarsaparilla root, saddle leather and earthy berry fruits precede a rich dense palate. This tastes of dark cherry and berry fruit, with an herbal shading adding complexity. Chocolaty oak takes hold on a solid long finish. Drink through 2024.",QP,68,Northern Spain,Rioja,Tempranillo Blend,Bodega Classica
US,"This single-vineyard estate wine is made by Nils Venge and Tom Rinaldi, who have somehow managed to capture quiet elegance and powerful fruit at the same time. Red-fruit driven, it's round and rich, with moderate tannin and cassis, clove and black pepper highlights.",Pellet Vineyard,95,California,Napa Valley,Cabernet Sauvignon,Pellet Estate
France,"This is an impressively rich, still very young wine. Dominated by Bandol's own MourvÌ¬dre grape, it is dense and concentrated. Spice and dark red fruits are shot through with a wonderful herbal character that conjures the southern warmth. The wine is still just setting out and will not be ready to drink before 2019.",La BÌ©gude,44,Provence,Bandol,Provence red blend,Domaine de la BÌ©gude
Argentina,"Open-grain oak aromas are out front, followed by sweeter scents of marzipan, prune and chocolate. A full, tannic palate is deep and dense, while toasty blackened flavors of cassis and blackberry finish with notes of mocha, chocolate and pepper. This is a bit rough and tannic, so cellaring will help it calm down. Drink through 2023.",Alta Barrancas Vineyards,50,Mendoza Province,Mendoza,Cabernet Sauvignon,Pascual Toso
France,"This is a serious wine with a lighter brighter side. Its wood aging adds spice to the ripe red fruits and brings out the concentration and intensity. It is, in its way, an unexpected side of Provence rosÌ©, emphasizing richness and complexity. But it all comes together: a fine wine that, after a year of aging, is ready to drink.",Garrus,100,Provence,CÌ«tes de Provence,RosÌ©,ChÌ¢teau d'Esclans
France,"From old vines in a tree-enclosed vineyard on the third terrace above the River Lot, this wine forms part of a range of wines featuring the soils and terraces of the Cahors vineyard. Named in homage to Marguerite de Massaut, a 16th-century owner of the estate, the wine is aged in new wood that gives it a minty character. That is balanced by the rich black-plum and truffle flavor and the intense acidity. The wine needs to age, so drink from 2021.",CuvÌ©e Marguerite Massaut,70,Southwest France,Cahors,Malbec,ChÌ¢teau LagrÌ©zette
US,"Polished in every way, this brings an enticing potpourri of almond paste, apple and white pepper. Wild yeast fermentation in oak (30% new) marries complex components in perfect precise balance. As with all the Ponzi 2014 Chardonnays, the acids are bright but not biting, and the wines are built for both near-term enjoyment and medium-term aging.",Aurora Vineyard,63,Oregon,Willamette Valley,Chardonnay,Ponzi
Italy,"Scents of woodland berry, rose petal, grilled herb, anisette and a balsamic note emerge on this firmly structured wine. On the robust palate, white pepper, licorice, sage and a hint of toast weave through the black cherry core. You'll also detect the warmth of alcohol on the close. Drink 2018‰ÛÒ2028.",Monvigliero,75,Piedmont,Barolo,Nebbiolo,Fratelli Alessandria
US,"Dense, rich red fruit belies an elegant wine that finds balance despite the concentration of vanilla and berry. Soft, approachable and integrated tannin and oak let the whole exist as one, instead of separate parts. This shows off the appellation's mountain fruit and rocky minerality.",Latro,50,California,Knights Valley,Cabernet Sauvignon,Galerie
Spain,"Lightly leesy aromas of vanilla cookie are offset by crisp minerally apple and stone-fruit scents. This is pure and lifted by fine acidity, while flavors of apple, pineapple and lemon-lime end fresh, with a distant note of citrus pith. Drink immediately.",Etiqueta Ambar,22,Galicia,RÌ?as Baixas,AlbariÌ±o,GranbazÌÁn
US,"From the Lovall Valley section of the Napa Valley quite near Sonoma, this lovely wine is awash in tropical mango, with lilts of pear and vanilla. Creamy, it's made in a fuller-bodied style but never gets ridiculous, instead offering balance and elegance, finishing with a squeeze of grapefruit.",Grieve Family Vineyard,45,California,Napa Valley,Sauvignon Blanc,Grieve
US,"There's a cantaloupe-like ripeness on the nose of this blend of 37% Grenache Blanc, 33% Viognier and 30% Roussanne, but not overdone, layered with seared white peach, caramelized pear, poached apple and almond aromas. The palate is more restrained and quite grippy, with flavors of green-apple skins, Bosc pear and a touch of honey.",XCV,38,California,Paso Robles Willow Creek District,RhÌ«ne-style White Blend,Jada Vineyard & Winery
US,"A pretty salmon-pink in color, and a lovable quaffer, this wine is dry, crisp and brightly refreshing in succulent waves of grapefruit and tangerine, remarkably light in alcohol but not shy in flavor. Enjoy it on its own or with a range of foods‰ÛÓits lightness begets versatility.",RosÌ© of,22,California,Knights Valley,Syrah,Lawer
Italy,"Pretty aromas of blue flower, rose, wild berry and graphite lead the way. The firm palate delivers mature black cherry, raspberry, star anise, black pepper and chopped sage alongside bright acidity and tightly knit tannins that need to unwind. Drink 2018‰ÛÒ2026.",Coste di Rose,90,Piedmont,Barolo,Nebbiolo,Marchesi di Barolo
US,"Bittersweet at first, with sizable tannins, this Cab also contains 13.8% Petit Verdot. Red and black berries give it a juicy palate atop dusty, chalky tannins and a richness of leather and clove on the finish.",Emblem Oso Vineyard,60,California,Napa Valley,Cabernet Sauvignon,Michael Mondavi Family Estate
Italy,"Aromas of perfumed berry, mint, baking spice and a whiff of oak emerge on this structured wine. The firm palate offers wild red cherry, crushed raspberry, mint, grilled sage and a touch of oak-driven spice alongside bracing tannins and nervous acidity. Give it time to soften and fully develop. Drink 2019‰ÛÒ2031.",Brunate,115,Piedmont,Barolo,Nebbiolo,Oddero
US,"Aromas and flavors of sandalwood and grenadine layer around this velvety, seductive wine. It offers black tea, truffle and forest floor, the body sinewy and complex. Savory in cinnamon and clove on the finish, it needs more time to open; decant or cellar through 2021.",Estate CuvÌ©e,55,California,Russian River Valley,Pinot Noir,Small Vines
US,"Warm vanilla notes are laid across ripe nectarine, apple skin and a twist of lemon rind on this single-vineyard study by the Los Gatos-based winery. Pencil lead kicks off the palate, which then opens into poached apples and lemon oil, laid across a sizzling acidity that lasts long.",Lone Oak Vineyard,48,California,Santa Lucia Highlands,Chardonnay,Testarossa
US,"Lemony and light on entry, this tropically kissed, textured white develops body and weight over time, finding a balance and elegance that's hard to ignore. A touch of white peach wraps up the finish.",Starr Ridge Vineyard Estate,40,California,Russian River Valley,Chardonnay,Thomas George
Italy,"Engaging aromas of red rose, iris, wild berry, cinnamon and a balsamic note waft out of the glass while juicy cherry, white pepper, anise and chopped mint drive the spicy, polished palate. Firm but refined tannins provide structure. Drink 2017‰ÛÒ2021.",Paesi Tuoi,60,Piedmont,Barolo,Nebbiolo,Vite Colte
US,"Caramelized white peach, salted lemon, pear skin, red apple and the hint of white flowers show on the nose of this wine by these longtime but under-the-radar producers. The palate blends orange skins and grapefruit pith with buttered toast, sea salt and a dill-like herb character.",Sierra Madre Vineyard,50,California,Santa Maria Valley,Chardonnay,Wedell Cellars
US,"A limited, popular entry in Winderlea's extensive single-vineyard lineup, this suggests cherry kirsch with streaks of coffee and tobacco. The pretty fruit leads into darker notes of tar and espresso. Still young and primary, the Juliard may be among the vintage's most long-lasting wines.",Juliard Vineyard,48,Oregon,Dundee Hills,Pinot Noir,Winderlea
France,"This is a very lively wine with a creamy mousse. The wine is towards dry, bringing out great white and citrus fruit flavors with a burst of tangy acidity. It comes from the village of Chouilly in the CÌ«te des Blancs, which gives the wine a tight mineral texture at the end.",Grand Cru Blanc de Blancs Chouilly Brut,54,Champagne,Champagne,Chardonnay,A.R. LenobleåÊ
US,"Principally Pinot Noir, the blend includes 25% Pinot Meunier and a splash of Chardonnay. It's a light and pretty salmon pink in hue, with hints of honeysuckle and moist earth in the nose. Flavors suggest tart raspberries and Bing cherries, with impressive minerality in the crisp, lingering finish.",Brut RosÌ©,50,Oregon,Willamette Valley,Sparkling Blend,Argyle
US,"Creamy on the nose, this wine shows seared pineapple, apple custard, lemon oil and faint iodine aromas. The flavors are evenly placed between lemon yogurt and salted apples, mixing a bit of tang and ripe fruit with a savory sea salt.",Rosella's Vineyard,40,California,Santa Lucia Highlands,Chardonnay,Bernardus
Italy,"Enticing aromas of crushed rose, red berry, wild mint, menthol and a hint of oak come together. The linear, focused palate offers raw red cherry, strawberry, white pepper, licorice and chopped sage accompanied by tightly knit, close-grained tannins and bright acidity. Drink 2019‰ÛÒ2026.",Parej,85,Piedmont,Barolo,Nebbiolo,Icardi
Spain,"Ripe berry aromas blend nicely with earthy leathery scents. With a full and easy palate, this generous Crianza delivers blackberry and chocolate flavors that veer toward raisin and prune, especially on the finish, which is lightly toasted and dense in feel. Drink through 2019.",Crianza,32,Northern Spain,Ribera del Duero,Tempranillo,Matarromera
US,"Cedar, cherry, black olive, wet earth, green olive and freshly plucked plum pop on the nose of this bottling. The palate shows lots of ripe black cherry down the middle, but is surrounded by a tangy green olive and an underripe-berry character, whose tartness enlivens the mouth.",Cuore della Vigne,41,California,Paso Robles,Red Blend,Le Vigne
US,"One of the few in California to use this grape, winemaker Ryan Pease makes a great case for more in this bottling, which shows broad lemon curd, soft apple flesh and Anjou pear on the nose. There is ripe stone fruit on the tangy palate, but it's bone dry and grippy with chalky texture.",Kiler Grove Vineyard,27,California,Paso Robles Willow Creek District,Ugni Blanc,Paix Sur Terre
US,"Much like its companion from the Revelation & Sorek Bloc, this offers well-endowed flavors of melon and white peach, along with a touch of citrus. There is a sense of higher acidity, along with lower listed alcohol, rather counter-intuitive as this is the reserve. Pick either one and you'll be pleased.",Winemaker's Reserve,29,Oregon,Umpqua Valley,GrÌ?ner Veltliner,Reustle
France,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",Galets OligocÌ¬ne,33,Alsace,Alsace,Pinot Noir,Domaine Bott-Geyl
France,"Translucent, fresh aromatics, like green pears glimpsed through clear water, characterize this wine. There's also an herbal edge of fresh, green foliage on this slender and refreshing wine. The limpid purity is very convincing.",Vieilles Vignes,27,Alsace,Alsace,Sylvaner,Domaine Ostertag
France,"The slightest whiff of pepper on the nose leads to a spiced, leesy and slender palate on this unusual Alsace resident: it's Switzerland's Chasselas making an appearance. This is slender and while the nose is shy, the palate provides ample textures. Make as a local and have this with fresh white asparagus. The wine has a great acidic spine and luminous freshness.",Vieilles Vignes,22,Alsace,Alsace,Chasselas,Domaine Schoffit
France,"The nose is like pear juice spilled onto warm earth, while the palate is more citrus-focused. A seam of almost tropical acidity links lemon to notes of pineapple, lifted by joyful freshness.",Zind,30,Alsace,Alsace,Alsace white blend,Domaine Zind-Humbrecht
US,"Planted with eight grapes, including the three Pinot ‰ÛÏsisters‰Û‰ÛÓBlanc, Gris and Noir‰ÛÓthis site is located just below Archery Summit in the heart of the Dundee Hills. The pale, pretty rosÌ© hue introduces this most elegant and restrained of the winery's vineyard selections. It's a velvety, finesse wine, with delicate flavors of rhubarb, cinnamon, cardamom and cocoa.",Sisters Estate,45,Oregon,Dundee Hills,Pinot Noir,The Eyrie Vineyards
